match_id,team_1,team_2,league,date,winner,gamelength,firsttower_team,firstblood_team,firstdragon_team
ESPORTSTMNT01_3300413,Vivo Keyd Stars,Liberty,CBLOL,2023-02-04 17:41:29,Liberty,1910,Liberty,Liberty,Liberty
ESPORTSTMNT01_3300434,INTZ,Los Grandes,CBLOL,2023-02-04 19:33:57,Los Grandes,1878,INTZ,INTZ,Los Grandes
ESPORTSTMNT01_3300699,FURIA,Fluxo,CBLOL,2023-02-05 16:19:00,Fluxo,1895,FURIA,FURIA,Fluxo
ESPORTSTMNT01_3300727,INTZ,paiN Gaming,CBLOL,2023-02-05 17:18:05,INTZ,1821,INTZ,INTZ,INTZ
ESPORTSTMNT01_3301406,RED Canids,LOUD,CBLOL,2023-02-04 20:36:41,RED Canids,2125,LOUD,RED Canids,LOUD
ESPORTSTMNT01_3301792,KaBuM! Esports,RED Canids,CBLOL,2023-02-05 20:16:46,KaBuM! Esports,1564,KaBuM! Esports,KaBuM! Esports,KaBuM! Esports
ESPORTSTMNT01_3302258,paiN Gaming,Fluxo,CBLOL,2023-02-04 16:25:43,paiN Gaming,2299,Fluxo,paiN Gaming,paiN Gaming
ESPORTSTMNT01_3302316,KaBuM! Esports,FURIA,CBLOL,2023-02-04 18:39:19,KaBuM! Esports,1828,KaBuM! Esports,KaBuM! Esports,KaBuM! Esports
ESPORTSTMNT01_3302641,Liberty,Los Grandes,CBLOL,2023-02-05 18:15:59,Los Grandes,2406,Liberty,Los Grandes,Los Grandes
ESPORTSTMNT01_3302674,Vivo Keyd Stars,LOUD,CBLOL,2023-02-05 19:23:19,LOUD,1696,Vivo Keyd Stars,Vivo Keyd Stars,LOUD
ESPORTSTMNT01_3309691,RED Canids,Liberty,CBLOL,2023-02-11 16:23:16,RED Canids,1844,Liberty,RED Canids,RED Canids
ESPORTSTMNT01_3309743,paiN Gaming,FURIA,CBLOL,2023-02-11 18:18:11,paiN Gaming,2408,FURIA,FURIA,FURIA
ESPORTSTMNT01_3311651,Fluxo,Vivo Keyd Stars,CBLOL,2023-02-11 17:20:25,Fluxo,1673,Fluxo,Fluxo,Fluxo
ESPORTSTMNT01_3311712,Los Grandes,KaBuM! Esports,CBLOL,2023-02-11 19:29:28,Los Grandes,2313,Los Grandes,Los Grandes,KaBuM! Esports
ESPORTSTMNT01_3311744,LOUD,INTZ,CBLOL,2023-02-11 20:34:32,LOUD,1575,INTZ,INTZ,LOUD
ESPORTSTMNT01_3312216,Los Grandes,LOUD,CBLOL,2023-02-12 17:21:01,Los Grandes,1400,Los Grandes,Los Grandes,LOUD
ESPORTSTMNT01_3313115,Vivo Keyd Stars,KaBuM! Esports,CBLOL,2023-02-12 16:20:04,KaBuM! Esports,1935,Vivo Keyd Stars,Vivo Keyd Stars,KaBuM! Esports
ESPORTSTMNT01_3313202,FURIA,RED Canids,CBLOL,2023-02-12 18:15:40,FURIA,2092,FURIA,FURIA,FURIA
ESPORTSTMNT01_3313248,Fluxo,INTZ,CBLOL,2023-02-12 19:18:26,Fluxo,1854,Fluxo,Fluxo,Fluxo
ESPORTSTMNT01_3313274,Liberty,paiN Gaming,CBLOL,2023-02-12 20:16:52,Liberty,2375,Liberty,paiN Gaming,paiN Gaming
ESPORTSTMNT01_3327386,Vivo Keyd Stars,INTZ,CBLOL,2023-03-19 18:18:28,Vivo Keyd Stars,1991,Vivo Keyd Stars,INTZ,INTZ
ESPORTSTMNT01_3328015,LOUD,Los Grandes,CBLOL,2023-03-18 16:26:46,LOUD,1386,LOUD,LOUD,LOUD
ESPORTSTMNT01_3328068,INTZ,Fluxo,CBLOL,2023-03-18 18:19:27,INTZ,2134,Fluxo,Fluxo,INTZ
