match_id,team_1,team_2,league,date,winner,gamelength,firsttower_team,firstblood_team,firstdragon_team
ESPORTSTMNT01_3303961,Kwangdong Freecs,Liiv SANDBOX,LCK,2023-02-08 09:07:58,Liiv SANDBOX,1880,Liiv SANDBOX,Liiv SANDBOX,Liiv SANDBOX
ESPORTSTMNT01_3304845,Liiv SANDBOX,Kwangdong Freecs,LCK,2023-02-08 08:06:49,Kwangdong Freecs,2249,Kwangdong Freecs,Liiv SANDBOX,Liiv SANDBOX
ESPORTSTMNT01_3304899,T1,BRION,LCK,2023-02-08 11:36:31,T1,1977,T1,T1,T1
ESPORTSTMNT01_3304926,BRION,T1,LCK,2023-02-08 12:32:16,T1,1929,T1,BRION,BRION
ESPORTSTMNT01_3305848,Liiv SANDBOX,Kwangdong Freecs,LCK,2023-02-08 10:00:15,Liiv SANDBOX,1903,Kwangdong Freecs,Kwangdong Freecs,Liiv SANDBOX
ESPORTSTMNT01_3306459,Dplus KIA,KT Rolster,LCK,2023-02-09 08:08:59,Dplus KIA,2134,KT Rolster,Dplus KIA,KT Rolster
ESPORTSTMNT01_3306514,Nongshim RedForce,Gen.G,LCK,2023-02-09 12:36:54,Gen.G,2104,Nongshim RedForce,Gen.G,Gen.G
ESPORTSTMNT01_3308368,KT Rolster,Dplus KIA,LCK,2023-02-09 09:09:41,KT Rolster,1862,Dplus KIA,Dplus KIA,KT Rolster
ESPORTSTMNT01_3308372,Dplus KIA,KT Rolster,LCK,2023-02-09 10:03:46,KT Rolster,1759,KT Rolster,KT Rolster,KT Rolster
ESPORTSTMNT01_3308381,Gen.G,Nongshim RedForce,LCK,2023-02-09 11:42:33,Gen.G,1781,Gen.G,Nongshim RedForce,Nongshim RedForce
ESPORTSTMNT01_3308953,BRION,Hanwha Life Esports,LCK,2023-02-10 10:00:13,Hanwha Life Esports,1647,Hanwha Life Esports,Hanwha Life Esports,Hanwha Life Esports
ESPORTSTMNT01_3309028,BRION,Hanwha Life Esports,LCK,2023-02-10 08:07:07,Hanwha Life Esports,1968,Hanwha Life Esports,Hanwha Life Esports,BRION
ESPORTSTMNT01_3309043,BRION,Hanwha Life Esports,LCK,2023-02-10 09:01:42,BRION,2304,BRION,BRION,BRION
ESPORTSTMNT01_3309058,DRX,Liiv SANDBOX,LCK,2023-02-10 11:30:21,Liiv SANDBOX,1877,Liiv SANDBOX,Liiv SANDBOX,Liiv SANDBOX
ESPORTSTMNT01_3309094,DRX,Liiv SANDBOX,LCK,2023-02-10 12:23:47,DRX,1685,DRX,Liiv SANDBOX,Liiv SANDBOX
ESPORTSTMNT01_3309624,KT Rolster,Gen.G,LCK,2023-02-11 10:22:31,KT Rolster,2661,KT Rolster,Gen.G,Gen.G
ESPORTSTMNT01_3309955,Dplus KIA,Hanwha Life Esports,LCK,2023-02-12 06:08:24,Dplus KIA,2292,Dplus KIA,Dplus KIA,Dplus KIA
ESPORTSTMNT01_3309997,DRX,T1,LCK,2023-02-12 09:43:50,T1,1484,T1,T1,T1
ESPORTSTMNT01_3310502,Kwangdong Freecs,Nongshim RedForce,LCK,2023-02-11 06:09:24,Kwangdong Freecs,1802,Kwangdong Freecs,Kwangdong Freecs,Nongshim RedForce
ESPORTSTMNT01_3310542,KT Rolster,Gen.G,LCK,2023-02-11 08:37:24,Gen.G,1660,Gen.G,Gen.G,Gen.G
ESPORTSTMNT01_3310561,Gen.G,KT Rolster,LCK,2023-02-11 09:27:12,KT Rolster,1956,Gen.G,KT Rolster,Gen.G
ESPORTSTMNT01_3310923,T1,DRX,LCK,2023-02-12 08:46:43,T1,2084,T1,T1,DRX
ESPORTSTMNT01_3311011,Liiv SANDBOX,DRX,LCK,2023-02-10 13:14:08,Liiv SANDBOX,1400,Liiv SANDBOX,DRX,Liiv SANDBOX
ESPORTSTMNT01_3311520,Nongshim RedForce,Kwangdong Freecs,LCK,2023-02-11 07:02:56,Kwangdong Freecs,1428,Kwangdong Freecs,Nongshim RedForce,Nongshim RedForce
ESPORTSTMNT01_3311892,Hanwha Life Esports,Dplus KIA,LCK,2023-02-12 07:08:38,Dplus KIA,1948,Dplus KIA,Dplus KIA,Dplus KIA
ESPORTSTMNT01_3324334,Dplus KIA,T1,LCK,2023-03-16 08:08:02,T1,1577,T1,T1,T1
ESPORTSTMNT01_3324352,Hanwha Life Esports,Gen.G,LCK,2023-03-16 10:46:56,Gen.G,1704,Gen.G,Gen.G,Hanwha Life Esports
ESPORTSTMNT01_3324628,Kwangdong Freecs,KT Rolster,LCK,2023-03-17 08:07:18,KT Rolster,2106,KT Rolster,KT Rolster,KT Rolster
ESPORTSTMNT01_3324646,Kwangdong Freecs,KT Rolster,LCK,2023-03-17 09:05:28,KT Rolster,2108,Kwangdong Freecs,KT Rolster,KT Rolster
ESPORTSTMNT01_3324649,BRION,Nongshim RedForce,LCK,2023-03-17 10:56:11,Nongshim RedForce,2127,Nongshim RedForce,Nongshim RedForce,BRION
ESPORTSTMNT01_3324928,Gen.G,Dplus KIA,LCK,2023-03-18 09:58:08,Gen.G,1603,Gen.G,Dplus KIA,Dplus KIA
ESPORTSTMNT01_3325029,Kwangdong Freecs,DRX,LCK,2023-03-15 08:05:46,Kwangdong Freecs,2427,Kwangdong Freecs,DRX,Kwangdong Freecs
ESPORTSTMNT01_3325049,Kwangdong Freecs,DRX,LCK,2023-03-15 10:02:48,Kwangdong Freecs,1898,Kwangdong Freecs,Kwangdong Freecs,Kwangdong Freecs
ESPORTSTMNT01_3325060,Liiv SANDBOX,BRION,LCK,2023-03-15 11:47:12,Liiv SANDBOX,1773,Liiv SANDBOX,Liiv SANDBOX,BRION
ESPORTSTMNT01_3325316,Dplus KIA,T1,LCK,2023-03-16 08:57:49,T1,2139,Dplus KIA,Dplus KIA,Dplus KIA
ESPORTSTMNT01_3325340,Hanwha Life Esports,Gen.G,LCK,2023-03-16 11:36:58,Gen.G,2015,Hanwha Life Esports,Hanwha Life Esports,Hanwha Life Esports
ESPORTSTMNT01_3325624,BRION,Nongshim RedForce,LCK,2023-03-17 11:53:02,Nongshim RedForce,1728,BRION,BRION,Nongshim RedForce
