match_id,team_1,team_2,league,date,winner
ESPORTSTMNT01_2690695,DRX,Liiv SANDBOX,LCK,2022-01-12 09:02:13,Liiv SANDBOX
ESPORTSTMNT01_2690705,T1,Kwangdong Freecs,LCK,2022-01-12 10:07:10,T1
ESPORTSTMNT01_2690725,Kwangdong Freecs,T1,LCK,2022-01-12 11:49:28,T1
ESPORTSTMNT01_2691507,DRX,Gen.G,LCK,2022-01-14 07:15:41,Gen.G
ESPORTSTMNT01_2691515,Gen.G,DRX,LCK,2022-01-14 08:42:06,Gen.G
ESPORTSTMNT01_2691518,BRION,T1,LCK,2022-01-14 09:32:22,BRION
ESPORTSTMNT01_2691546,T1,BRION,LCK,2022-01-14 11:51:26,T1
ESPORTSTMNT01_2691557,BRION,T1,LCK,2022-01-14 13:00:25,T1
ESPORTSTMNT01_2692264,Dplus KIA,Gen.G,LCK,2022-01-16 13:39:12,Gen.G
ESPORTSTMNT01_2693789,Nongshim RedForce,Dplus KIA,LCK,2022-01-19 06:44:22,Nongshim RedForce
ESPORTSTMNT01_2693854,KT Rolster,Hanwha Life Esports,LCK,2022-01-19 11:06:38,KT Rolster
ESPORTSTMNT01_2693886,Hanwha Life Esports,KT Rolster,LCK,2022-01-19 12:43:18,KT Rolster
ESPORTSTMNT01_2694425,T1,DRX,LCK,2022-01-20 08:35:27,T1
ESPORTSTMNT01_2694428,BRION,Gen.G,LCK,2022-01-20 09:29:43,Gen.G
ESPORTSTMNT01_2694459,BRION,Gen.G,LCK,2022-01-20 11:43:17,Gen.G
ESPORTSTMNT01_2695078,Nongshim RedForce,KT Rolster,LCK,2022-01-21 11:42:20,Nongshim RedForce
ESPORTSTMNT01_2695092,KT Rolster,Nongshim RedForce,LCK,2022-01-21 12:34:43,Nongshim RedForce
ESPORTSTMNT01_2695530,BRION,Dplus KIA,LCK,2022-01-22 08:35:01,Dplus KIA
ESPORTSTMNT01_2695541,Gen.G,Hanwha Life Esports,LCK,2022-01-22 09:34:31,Hanwha Life Esports
ESPORTSTMNT01_2695573,Gen.G,Hanwha Life Esports,LCK,2022-01-22 11:37:56,Gen.G
ESPORTSTMNT01_2695586,Hanwha Life Esports,Gen.G,LCK,2022-01-22 12:41:49,Gen.G
ESPORTSTMNT01_2700815,DRX,Liiv SANDBOX,LCK,2022-01-12 06:20:03,Liiv SANDBOX
ESPORTSTMNT01_2701248,Nongshim RedForce,Hanwha Life Esports,LCK,2022-01-13 06:51:40,Nongshim RedForce
ESPORTSTMNT01_2701277,Hanwha Life Esports,Nongshim RedForce,LCK,2022-01-13 08:53:53,Hanwha Life Esports
ESPORTSTMNT01_2701282,Nongshim RedForce,Hanwha Life Esports,LCK,2022-01-13 09:50:33,Hanwha Life Esports
ESPORTSTMNT01_2701289,KT Rolster,Dplus KIA,LCK,2022-01-13 10:51:13,Dplus KIA
ESPORTSTMNT01_2701333,KT Rolster,Dplus KIA,LCK,2022-01-13 12:51:51,Dplus KIA
