match_id,team_1,team_2,league,date,winner,gamelength,firsttower_team,firstbaron_team
ESPORTSTMNT01_2691713,TSM,100 Thieves,LCS,2022-01-14 21:26:31,100 Thieves,1595,100 Thieves,1
ESPORTSTMNT01_2692054,Dignitas,Team Liquid,LCS,2022-01-15 20:52:15,Team Liquid,1523,Team Liquid,1
ESPORTSTMNT01_2692497,Team Liquid,Counter Logic Gaming,LCS,2022-01-16 21:11:18,Team Liquid,1807,Team Liquid,0
ESPORTSTMNT01_2692529,TSM,Cloud9,LCS,2022-01-16 22:10:33,Cloud9,1750,TSM,1
ESPORTSTMNT01_2692548,Evil Geniuses,Immortals,LCS,2022-01-16 23:00:52,Evil Geniuses,1903,Evil Geniuses,0
ESPORTSTMNT01_2692567,Golden Guardians,FlyQuest,LCS,2022-01-16 23:57:17,FlyQuest,1847,FlyQuest,1
ESPORTSTMNT01_2695387,Dignitas,Counter Logic Gaming,LCS,2022-01-21 21:45:47,Counter Logic Gaming,2172,Dignitas,1
ESPORTSTMNT01_2695415,100 Thieves,Cloud9,LCS,2022-01-21 23:12:13,100 Thieves,1779,100 Thieves,0
ESPORTSTMNT01_2695435,Immortals,Team Liquid,LCS,2022-01-22 00:06:11,Team Liquid,1824,Team Liquid,1
ESPORTSTMNT01_2695450,Golden Guardians,TSM,LCS,2022-01-22 01:00:16,Golden Guardians,1689,TSM,0
ESPORTSTMNT01_2695459,Evil Geniuses,Dignitas,LCS,2022-01-22 01:51:07,Evil Geniuses,1569,Evil Geniuses,0
ESPORTSTMNT01_2695850,100 Thieves,Dignitas,LCS,2022-01-22 20:38:42,Dignitas,2211,Dignitas,1
ESPORTSTMNT01_2696307,Evil Geniuses,Golden Guardians,LCS,2022-01-23 19:32:49,Evil Geniuses,1956,Evil Geniuses,0
ESPORTSTMNT01_2701892,Cloud9,Golden Guardians,LCS,2022-01-14 23:05:35,Cloud9,2079,Golden Guardians,0
ESPORTSTMNT01_2701898,FlyQuest,TSM,LCS,2022-01-15 00:00:36,TSM,3007,FlyQuest,1
ESPORTSTMNT01_2701905,100 Thieves,Golden Guardians,LCS,2022-01-15 01:14:39,100 Thieves,1976,100 Thieves,0
ESPORTSTMNT01_2701917,Cloud9,FlyQuest,LCS,2022-01-15 02:13:10,Cloud9,2149,Cloud9,0
ESPORTSTMNT01_2702177,Counter Logic Gaming,Immortals,LCS,2022-01-15 22:02:29,Counter Logic Gaming,1459,Immortals,0
ESPORTSTMNT01_2702184,Team Liquid,Evil Geniuses,LCS,2022-01-15 22:50:00,Evil Geniuses,2459,Team Liquid,0
ESPORTSTMNT01_2702196,Immortals,Dignitas,LCS,2022-01-16 00:14:51,Dignitas,2272,Immortals,1
ESPORTSTMNT01_2702203,Counter Logic Gaming,Evil Geniuses,LCS,2022-01-16 01:14:27,Evil Geniuses,1443,Evil Geniuses,1
ESPORTSTMNT01_2702518,FlyQuest,100 Thieves,LCS,2022-01-16 19:40:35,FlyQuest,2001,FlyQuest,0
ESPORTSTMNT01_2705832,Dignitas,100 Thieves,LCS,2022-01-22 22:21:39,Dignitas,1694,Dignitas,0
ESPORTSTMNT01_2705845,Team Liquid,FlyQuest,LCS,2022-01-22 23:12:36,Team Liquid,1809,Team Liquid,0
ESPORTSTMNT01_2705859,FlyQuest,Team Liquid,LCS,2022-01-23 00:16:32,Team Liquid,1774,Team Liquid,1
ESPORTSTMNT01_2706264,Golden Guardians,Evil Geniuses,LCS,2022-01-23 21:13:50,Evil Geniuses,1634,Golden Guardians,1
ESPORTSTMNT01_2706274,Cloud9,Counter Logic Gaming,LCS,2022-01-23 21:59:43,Cloud9,1872,Cloud9,0
ESPORTSTMNT01_2706287,Counter Logic Gaming,Cloud9,LCS,2022-01-23 22:56:49,Counter Logic Gaming,2193,Counter Logic Gaming,0
ESPORTSTMNT01_2706306,Cloud9,Counter Logic Gaming,LCS,2022-01-23 23:55:27,Cloud9,1764,Cloud9,0
ESPORTSTMNT01_2731362,Cloud9,Dignitas,LCS,2022-02-25 22:37:00,Cloud9,1595,Cloud9,0
ESPORTSTMNT01_2731398,Golden Guardians,Team Liquid,LCS,2022-02-25 23:32:00,Golden Guardians,1756,Golden Guardians,0
ESPORTSTMNT01_2731417,TSM,100 Thieves,LCS,2022-02-26 00:27:00,100 Thieves,2104,TSM,1
ESPORTSTMNT01_2731436,Counter Logic Gaming,Immortals,LCS,2022-02-26 01:27:00,Immortals,1880,Counter Logic Gaming,1
ESPORTSTMNT01_2731814,Dignitas,Team Liquid,LCS,2022-02-26 21:44:00,Team Liquid,1917,Dignitas,1
ESPORTSTMNT01_2731850,Counter Logic Gaming,TSM,LCS,2022-02-26 22:44:00,Counter Logic Gaming,2093,TSM,1
ESPORTSTMNT01_2731891,Cloud9,100 Thieves,LCS,2022-02-26 23:44:00,Cloud9,1845,Cloud9,0
ESPORTSTMNT01_2731908,Evil Geniuses,FlyQuest,LCS,2022-02-27 00:40:00,Evil Geniuses,1957,Evil Geniuses,0
ESPORTSTMNT01_2731918,FlyQuest,Immortals,LCS,2022-02-27 01:38:00,Immortals,1944,Immortals,1
ESPORTSTMNT01_2731935,Evil Geniuses,Golden Guardians,LCS,2022-02-27 02:35:00,Evil Geniuses,1713,Evil Geniuses,1
ESPORTSTMNT01_2732412,Team Liquid,TSM,LCS,2022-02-27 20:01:06,Team Liquid,1652,Team Liquid,0
ESPORTSTMNT01_2732459,Counter Logic Gaming,Evil Geniuses,LCS,2022-02-27 21:05:38,Counter Logic Gaming,2308,Evil Geniuses,0
ESPORTSTMNT01_2742510,Cloud9,FlyQuest,LCS,2022-02-27 22:11:11,Cloud9,1971,Cloud9,0
ESPORTSTMNT01_2742551,Immortals,Golden Guardians,LCS,2022-02-27 23:06:36,Golden Guardians,2196,Golden Guardians,0
ESPORTSTMNT01_2742596,Dignitas,100 Thieves,LCS,2022-02-28 00:07:27,Dignitas,2069,100 Thieves,0
ESPORTSTMNT01_2771326,Immortals,Team Liquid,LCS,2022-03-06 19:53:38,Team Liquid,2193,Immortals,1
ESPORTSTMNT01_2771382,Counter Logic Gaming,100 Thieves,LCS,2022-03-06 21:19:47,100 Thieves,1758,100 Thieves,1
ESPORTSTMNT01_2780732,Evil Geniuses,Immortals,LCS,2022-03-05 21:01:58,Evil Geniuses,2198,Evil Geniuses,0
ESPORTSTMNT01_2780787,TSM,FlyQuest,LCS,2022-03-05 22:16:41,FlyQuest,1936,TSM,1
