match_id,team_1,team_2,league,date,winner,gamelength,firsttower_team,firstblood_team,firstdragon_team
ESPORTSTMNT02_3231904,MAD Lions KOI,Fnatic,LEC,2023-09-09 17:15:01,Fnatic,2175,Fnatic,Fnatic,Fnatic
ESPORTSTMNT02_3231908,Fnatic,MAD Lions KOI,LEC,2023-09-09 20:11:36,Fnatic,1929,Fnatic,Fnatic,MAD Lions KOI
ESPORTSTMNT02_3231935,Fnatic,G2 Esports,LEC,2023-09-10 17:09:42,G2 Esports,1529,G2 Esports,G2 Esports,G2 Esports
ESPORTSTMNT02_3231936,G2 Esports,Fnatic,LEC,2023-09-10 18:52:05,G2 Esports,1416,G2 Esports,Fnatic,Fnatic
ESPORTSTMNT02_3232892,G2 Esports,Fnatic,LEC,2023-09-10 16:17:48,G2 Esports,1657,G2 Esports,G2 Esports,Fnatic
ESPORTSTMNT02_3233841,MAD Lions KOI,Fnatic,LEC,2023-09-09 18:25:37,MAD Lions KOI,1576,MAD Lions KOI,MAD Lions KOI,MAD Lions KOI
ESPORTSTMNT02_3233844,Fnatic,MAD Lions KOI,LEC,2023-09-09 20:11:36,Fnatic,1929,Fnatic,Fnatic,MAD Lions KOI
ESPORTSTMNT02_3233875,G2 Esports,Fnatic,LEC,2023-09-10 17:58:26,Fnatic,1786,Fnatic,G2 Esports,Fnatic
ESPORTSTMNT03_3131863,Astralis,Team Vitality,LEC,2023-03-20 19:14:56,Astralis,1816,Astralis,Astralis,Astralis
ESPORTSTMNT04_2663772,Team Vitality,Team Heretics,LEC,2023-02-11 17:58:39,Team Heretics,1589,Team Vitality,Team Heretics,Team Heretics
ESPORTSTMNT04_2663877,MAD Lions KOI,Astralis,LEC,2023-02-12 18:44:56,MAD Lions KOI,1753,MAD Lions KOI,MAD Lions KOI,MAD Lions KOI
ESPORTSTMNT04_2663880,G2 Esports,Team BDS,LEC,2023-02-12 19:42:40,G2 Esports,1864,Team BDS,Team BDS,G2 Esports
ESPORTSTMNT04_2663886,Team BDS,G2 Esports,LEC,2023-02-12 20:34:35,Team BDS,2186,Team BDS,Team BDS,G2 Esports
ESPORTSTMNT04_2663888,G2 Esports,Team BDS,LEC,2023-02-12 21:32:33,G2 Esports,1374,G2 Esports,G2 Esports,Team BDS
ESPORTSTMNT04_2664764,Team Vitality,Team Heretics,LEC,2023-02-11 17:09:29,Team Vitality,1616,Team Vitality,Team Vitality,Team Vitality
ESPORTSTMNT04_2664773,Team Vitality,Team Heretics,LEC,2023-02-11 18:46:06,Team Vitality,2381,Team Heretics,Team Vitality,Team Heretics
ESPORTSTMNT04_2664781,SK Gaming,KOI,LEC,2023-02-11 20:43:22,KOI,2137,KOI,KOI,KOI
ESPORTSTMNT04_2664918,MAD Lions KOI,G2 Esports,LEC,2023-02-13 18:56:39,G2 Esports,1708,MAD Lions KOI,G2 Esports,MAD Lions KOI
ESPORTSTMNT04_2664924,G2 Esports,MAD Lions KOI,LEC,2023-02-13 19:46:35,G2 Esports,1735,MAD Lions KOI,G2 Esports,MAD Lions KOI
ESPORTSTMNT04_2665780,KOI,SK Gaming,LEC,2023-02-11 19:51:58,KOI,1653,KOI,KOI,SK Gaming
ESPORTSTMNT04_2665863,MAD Lions KOI,Astralis,LEC,2023-02-12 17:07:25,MAD Lions KOI,1652,Astralis,MAD Lions KOI,Astralis
ESPORTSTMNT04_2665869,Astralis,MAD Lions KOI,LEC,2023-02-12 17:56:16,Astralis,1632,MAD Lions KOI,MAD Lions KOI,Astralis
ESPORTSTMNT04_2665906,Team Vitality,KOI,LEC,2023-02-13 17:07:15,KOI,1998,KOI,Team Vitality,KOI
ESPORTSTMNT04_2665931,KOI,Team Vitality,LEC,2023-02-13 18:02:26,KOI,1594,KOI,KOI,KOI
ESPORTSTMNT04_2666149,Team Heretics,SK Gaming,LEC,2023-02-18 17:54:07,SK Gaming,2361,Team Heretics,Team Heretics,Team Heretics
ESPORTSTMNT04_2666152,Team BDS,Astralis,LEC,2023-02-18 19:13:16,Team BDS,2171,Astralis,Astralis,Astralis
ESPORTSTMNT04_2666160,Astralis,Team BDS,LEC,2023-02-18 20:12:27,Astralis,2341,Astralis,Team BDS,Astralis
ESPORTSTMNT04_2666184,MAD Lions KOI,Astralis,LEC,2023-02-19 19:00:23,MAD Lions KOI,1891,MAD Lions KOI,Astralis,MAD Lions KOI
ESPORTSTMNT04_2666227,KOI,G2 Esports,LEC,2023-02-20 18:51:56,KOI,1589,KOI,KOI,G2 Esports
ESPORTSTMNT04_2666251,SK Gaming,MAD Lions KOI,LEC,2023-02-24 18:08:19,SK Gaming,1958,SK Gaming,SK Gaming,MAD Lions KOI
ESPORTSTMNT04_2666269,KOI,MAD Lions KOI,LEC,2023-02-25 17:09:55,KOI,1653,KOI,KOI,KOI
ESPORTSTMNT04_2666274,MAD Lions KOI,KOI,LEC,2023-02-25 18:01:08,MAD Lions KOI,2107,KOI,MAD Lions KOI,MAD Lions KOI
ESPORTSTMNT04_2666276,KOI,MAD Lions KOI,LEC,2023-02-25 19:00:34,MAD Lions KOI,1865,KOI,MAD Lions KOI,MAD Lions KOI
ESPORTSTMNT04_2666301,MAD Lions KOI,G2 Esports,LEC,2023-02-26 18:57:12,G2 Esports,2489,MAD Lions KOI,MAD Lions KOI,G2 Esports
ESPORTSTMNT04_2667146,Team BDS,Astralis,LEC,2023-02-18 21:13:29,Astralis,1724,Astralis,Astralis,Astralis
ESPORTSTMNT04_2667175,Astralis,MAD Lions KOI,LEC,2023-02-19 19:53:42,MAD Lions KOI,1511,MAD Lions KOI,MAD Lions KOI,MAD Lions KOI
ESPORTSTMNT04_2667200,G2 Esports,KOI,LEC,2023-02-20 17:10:54,G2 Esports,1730,G2 Esports,KOI,G2 Esports
ESPORTSTMNT04_2667209,KOI,G2 Esports,LEC,2023-02-20 18:04:19,G2 Esports,1404,G2 Esports,KOI,G2 Esports
ESPORTSTMNT04_2667226,MAD Lions KOI,SK Gaming,LEC,2023-02-24 17:12:32,MAD Lions KOI,1932,MAD Lions KOI,SK Gaming,MAD Lions KOI
ESPORTSTMNT04_2667238,MAD Lions KOI,SK Gaming,LEC,2023-02-24 19:03:58,MAD Lions KOI,1472,MAD Lions KOI,SK Gaming,MAD Lions KOI
ESPORTSTMNT04_2667240,SK Gaming,MAD Lions KOI,LEC,2023-02-24 19:54:04,SK Gaming,2009,SK Gaming,MAD Lions KOI,MAD Lions KOI
ESPORTSTMNT04_2667243,MAD Lions KOI,SK Gaming,LEC,2023-02-24 20:59:01,MAD Lions KOI,1692,MAD Lions KOI,SK Gaming,MAD Lions KOI
ESPORTSTMNT04_2667287,MAD Lions KOI,G2 Esports,LEC,2023-02-26 18:03:51,G2 Esports,1662,G2 Esports,G2 Esports,G2 Esports
ESPORTSTMNT04_2668106,SK Gaming,Team Heretics,LEC,2023-02-18 17:03:12,SK Gaming,1763,SK Gaming,Team Heretics,SK Gaming
ESPORTSTMNT04_2668132,Team Vitality,SK Gaming,LEC,2023-02-19 17:08:21,SK Gaming,2386,Team Vitality,SK Gaming,Team Vitality
ESPORTSTMNT04_2668137,Team Vitality,SK Gaming,LEC,2023-02-19 18:10:29,SK Gaming,1441,SK Gaming,SK Gaming,SK Gaming
ESPORTSTMNT04_2668184,G2 Esports,KOI,LEC,2023-02-20 19:40:11,G2 Esports,2337,KOI,G2 Esports,KOI
