match_id,team_1,team_2,league,date,winner,gamelength,firsttower_team,firstbaron_team
ESPORTSTMNT01_2692407,Rogue,Astralis,LEC,2022-01-16 17:07:19,Rogue,1476,Rogue,0
ESPORTSTMNT01_2692425,SK Gaming,Fnatic,LEC,2022-01-16 17:58:43,Fnatic,2009,Fnatic,1
ESPORTSTMNT01_2692441,MAD Lions KOI,G2 Esports,LEC,2022-01-16 18:53:12,MAD Lions KOI,1602,MAD Lions KOI,0
ESPORTSTMNT01_2695682,SK Gaming,Excel Esports,LEC,2022-01-22 15:16:21,Excel Esports,2248,SK Gaming,1
ESPORTSTMNT01_2695722,MAD Lions KOI,Astralis,LEC,2022-01-22 16:07:29,MAD Lions KOI,1926,MAD Lions KOI,1
ESPORTSTMNT01_2695805,Fnatic,Misfits Gaming,LEC,2022-01-22 18:25:17,Fnatic,1420,Fnatic,0
ESPORTSTMNT01_2701805,Excel Esports,G2 Esports,LEC,2022-01-14 18:45:50,G2 Esports,2512,G2 Esports,0
ESPORTSTMNT01_2702406,Team BDS,Misfits Gaming,LEC,2022-01-16 15:02:39,Misfits Gaming,1791,Misfits Gaming,1
ESPORTSTMNT01_2702451,Excel Esports,Team Vitality,LEC,2022-01-16 16:26:23,Excel Esports,2264,Excel Esports,0
ESPORTSTMNT01_2705039,Misfits Gaming,Excel Esports,LEC,2022-01-21 16:24:38,Misfits Gaming,1902,Excel Esports,0
ESPORTSTMNT01_2705072,Astralis,Fnatic,LEC,2022-01-21 17:09:26,Fnatic,2499,Fnatic,1
ESPORTSTMNT01_2705102,G2 Esports,SK Gaming,LEC,2022-01-21 18:02:59,G2 Esports,1930,G2 Esports,0
ESPORTSTMNT01_2705156,Team BDS,Team Vitality,LEC,2022-01-21 19:20:32,Team Vitality,1665,Team Vitality,1
ESPORTSTMNT01_2705190,MAD Lions KOI,Rogue,LEC,2022-01-21 20:05:27,Rogue,1989,MAD Lions KOI,1
ESPORTSTMNT01_2705675,Team BDS,Rogue,LEC,2022-01-22 17:15:31,Rogue,1700,Rogue,1
ESPORTSTMNT01_2705762,G2 Esports,Team Vitality,LEC,2022-01-22 19:16:20,Team Vitality,1793,Team Vitality,1
ESPORTSTMNT02_2552091,Team BDS,SK Gaming,LEC,2022-01-29 15:16:05,Team BDS,1752,Team BDS,0
ESPORTSTMNT02_2552210,Rogue,Team Vitality,LEC,2022-01-29 18:10:48,Rogue,2164,Rogue,0
ESPORTSTMNT02_2555302,Team Vitality,Misfits Gaming,LEC,2022-02-04 18:08:16,Team Vitality,1713,Misfits Gaming,0
ESPORTSTMNT02_2572200,Astralis,Excel Esports,LEC,2022-01-29 16:19:35,Excel Esports,2137,Excel Esports,0
ESPORTSTMNT02_2572232,MAD Lions KOI,Misfits Gaming,LEC,2022-01-29 17:03:55,Misfits Gaming,1690,Misfits Gaming,1
ESPORTSTMNT02_2572311,Fnatic,G2 Esports,LEC,2022-01-29 19:01:25,G2 Esports,2260,Fnatic,1
ESPORTSTMNT02_2575285,Astralis,SK Gaming,LEC,2022-02-04 16:19:42,SK Gaming,1851,Astralis,1
ESPORTSTMNT02_2575318,Rogue,Excel Esports,LEC,2022-02-04 17:17:09,Rogue,1365,Rogue,0
ESPORTSTMNT02_2575377,G2 Esports,Team BDS,LEC,2022-02-04 19:00:38,G2 Esports,1986,Team BDS,0
ESPORTSTMNT02_2575406,MAD Lions KOI,Fnatic,LEC,2022-02-04 19:46:21,Fnatic,1958,Fnatic,1
ESPORTSTMNT02_2575790,Misfits Gaming,SK Gaming,LEC,2022-02-05 15:11:32,Misfits Gaming,1805,Misfits Gaming,0
ESPORTSTMNT02_2575831,MAD Lions KOI,Team BDS,LEC,2022-02-05 16:06:32,MAD Lions KOI,2720,MAD Lions KOI,1
ESPORTSTMNT02_2575868,Astralis,Team Vitality,LEC,2022-02-05 17:07:40,Team Vitality,2163,Astralis,1
ESPORTSTMNT02_2575912,Excel Esports,Fnatic,LEC,2022-02-05 18:24:28,Excel Esports,1733,Fnatic,0
ESPORTSTMNT02_2575935,G2 Esports,Rogue,LEC,2022-02-05 19:18:21,Rogue,1496,Rogue,1
ESPORTSTMNT02_3231904,MAD Lions KOI,Fnatic,LEC,2023-09-09 17:15:01,Fnatic,2175,Fnatic,1
ESPORTSTMNT02_3231908,Fnatic,MAD Lions KOI,LEC,2023-09-09 20:11:36,Fnatic,1929,Fnatic,1
ESPORTSTMNT02_3231935,Fnatic,G2 Esports,LEC,2023-09-10 17:09:42,G2 Esports,1529,G2 Esports,1
ESPORTSTMNT02_3231936,G2 Esports,Fnatic,LEC,2023-09-10 18:52:05,G2 Esports,1416,G2 Esports,0
ESPORTSTMNT02_3232892,G2 Esports,Fnatic,LEC,2023-09-10 16:17:48,G2 Esports,1657,G2 Esports,0
ESPORTSTMNT02_3233841,MAD Lions KOI,Fnatic,LEC,2023-09-09 18:25:37,MAD Lions KOI,1576,MAD Lions KOI,0
ESPORTSTMNT02_3233844,Fnatic,MAD Lions KOI,LEC,2023-09-09 20:11:36,Fnatic,1929,Fnatic,1
ESPORTSTMNT02_3233875,G2 Esports,Fnatic,LEC,2023-09-10 17:58:26,Fnatic,1786,Fnatic,1
ESPORTSTMNT03_2780949,Excel Esports,Misfits Gaming,LEC,2022-06-17 18:20:18,Excel Esports,1564,Excel Esports,0
ESPORTSTMNT03_2780993,G2 Esports,Astralis,LEC,2022-06-17 19:19:37,G2 Esports,2048,G2 Esports,0
ESPORTSTMNT03_2781030,Rogue,Fnatic,LEC,2022-06-17 20:22:39,Fnatic,2042,Rogue,1
ESPORTSTMNT03_3131863,Astralis,Team Vitality,LEC,2023-03-20 19:14:56,Astralis,1816,Astralis,0
ESPORTSTMNT04_2090326,MAD Lions KOI,Team Vitality,LEC,2022-01-14 16:19:00,MAD Lions KOI,1926,MAD Lions KOI,0
ESPORTSTMNT04_2090342,Rogue,SK Gaming,LEC,2022-01-14 17:28:42,Rogue,1655,Rogue,0
ESPORTSTMNT04_2090354,Astralis,Misfits Gaming,LEC,2022-01-14 19:14:41,Misfits Gaming,2463,Misfits Gaming,0
ESPORTSTMNT04_2090358,Fnatic,Team BDS,LEC,2022-01-14 20:10:24,Fnatic,2085,Team BDS,0
ESPORTSTMNT04_2090389,Excel Esports,Team BDS,LEC,2022-01-15 16:12:38,Team BDS,2248,Excel Esports,1
ESPORTSTMNT04_2090394,SK Gaming,MAD Lions KOI,LEC,2022-01-15 17:13:40,SK Gaming,3293,SK Gaming,0
ESPORTSTMNT04_2090404,G2 Esports,Astralis,LEC,2022-01-15 18:08:05,G2 Esports,2077,G2 Esports,0
ESPORTSTMNT04_2110359,Rogue,Misfits Gaming,LEC,2022-01-15 15:15:49,Rogue,2050,Rogue,0
ESPORTSTMNT04_2110375,Team Vitality,Fnatic,LEC,2022-01-15 19:34:12,Fnatic,2021,Team Vitality,1
ESPORTSTMNT04_2170183,Astralis,Team BDS,LEC,2022-02-25 17:15:30,Team BDS,2060,Team BDS,1
ESPORTSTMNT04_2170190,SK Gaming,Team Vitality,LEC,2022-02-25 18:26:31,Team Vitality,2051,Team Vitality,1
ESPORTSTMNT04_2170194,Fnatic,Rogue,LEC,2022-02-25 19:23:49,Fnatic,1808,Fnatic,2
ESPORTSTMNT04_2170273,SK Gaming,Astralis,LEC,2022-02-26 16:18:11,Astralis,1628,Astralis,1
ESPORTSTMNT04_2200195,Excel Esports,MAD Lions KOI,LEC,2022-02-25 16:43:02,Excel Esports,1551,Excel Esports,0
ESPORTSTMNT04_2200212,G2 Esports,Misfits Gaming,LEC,2022-02-25 20:22:24,Misfits Gaming,2332,G2 Esports,1
ESPORTSTMNT04_2200279,Misfits Gaming,Team Vitality,LEC,2022-02-26 15:21:11,Team Vitality,2285,Team Vitality,1
ESPORTSTMNT04_2200304,Excel Esports,Rogue,LEC,2022-02-26 17:35:40,Rogue,1775,Rogue,1
ESPORTSTMNT04_2200308,G2 Esports,Team BDS,LEC,2022-02-26 18:30:52,G2 Esports,1859,G2 Esports,1
ESPORTSTMNT04_2200313,Fnatic,MAD Lions KOI,LEC,2022-02-26 19:25:17,Fnatic,1952,MAD Lions KOI,0
ESPORTSTMNT04_2210072,Team Vitality,MAD Lions KOI,LEC,2022-03-04 18:45:35,MAD Lions KOI,2013,Team Vitality,1
ESPORTSTMNT04_2210081,G2 Esports,Excel Esports,LEC,2022-03-04 19:44:01,G2 Esports,1601,G2 Esports,0
ESPORTSTMNT04_2210140,Excel Esports,SK Gaming,LEC,2022-03-05 15:12:16,Excel Esports,1701,Excel Esports,0
ESPORTSTMNT04_2210177,Team Vitality,G2 Esports,LEC,2022-03-05 19:47:00,G2 Esports,2268,G2 Esports,1
ESPORTSTMNT04_2210197,MAD Lions KOI,Team BDS,LEC,2022-03-06 17:15:00,MAD Lions KOI,2185,Team BDS,0
ESPORTSTMNT04_2210200,Fnatic,Excel Esports,LEC,2022-03-06 18:16:29,Fnatic,1791,Fnatic,2
ESPORTSTMNT04_2220030,SK Gaming,Rogue,LEC,2022-03-04 16:22:48,SK Gaming,2368,Rogue,0
ESPORTSTMNT04_2220058,Astralis,Misfits Gaming,LEC,2022-03-04 17:13:39,Misfits Gaming,2500,Misfits Gaming,0
ESPORTSTMNT04_2220085,Team BDS,Fnatic,LEC,2022-03-04 20:37:41,Fnatic,1490,Fnatic,1
ESPORTSTMNT04_2220145,Astralis,MAD Lions KOI,LEC,2022-03-05 16:15:57,MAD Lions KOI,1961,Astralis,1
ESPORTSTMNT04_2220150,Rogue,Team BDS,LEC,2022-03-05 17:24:10,Rogue,1976,Rogue,0
ESPORTSTMNT04_2220155,Misfits Gaming,Fnatic,LEC,2022-03-05 18:25:54,Misfits Gaming,2201,Fnatic,1
ESPORTSTMNT04_2220213,SK Gaming,Misfits Gaming,LEC,2022-03-06 15:14:14,SK Gaming,1707,SK Gaming,0
ESPORTSTMNT04_2220231,Team Vitality,Astralis,LEC,2022-03-06 16:02:54,Team Vitality,1477,Astralis,0
ESPORTSTMNT04_2220236,Rogue,G2 Esports,LEC,2022-03-06 19:09:43,Rogue,1612,Rogue,0
ESPORTSTMNT04_2410253,Misfits Gaming,Team BDS,LEC,2022-07-01 15:18:23,Misfits Gaming,1800,Team BDS,0
ESPORTSTMNT04_2410268,Team Vitality,SK Gaming,LEC,2022-07-01 16:39:28,Team Vitality,1808,SK Gaming,0
ESPORTSTMNT04_2410280,Excel Esports,Rogue,LEC,2022-07-01 17:36:27,Rogue,1921,Rogue,0
ESPORTSTMNT04_2410292,Fnatic,Astralis,LEC,2022-07-01 18:40:14,Fnatic,1986,Fnatic,0
ESPORTSTMNT04_2410305,MAD Lions KOI,G2 Esports,LEC,2022-07-01 19:41:28,MAD Lions KOI,2550,MAD Lions KOI,0
ESPORTSTMNT04_2410385,Excel Esports,Team BDS,LEC,2022-07-02 13:53:47,Excel Esports,1446,Excel Esports,0
ESPORTSTMNT04_2410408,Rogue,SK Gaming,LEC,2022-07-02 15:32:39,Rogue,1869,Rogue,1
ESPORTSTMNT04_2410419,Team Vitality,Astralis,LEC,2022-07-02 16:30:42,Team Vitality,2050,Team Vitality,0
ESPORTSTMNT04_2410437,MAD Lions KOI,Misfits Gaming,LEC,2022-07-02 17:31:36,Misfits Gaming,2164,MAD Lions KOI,0
ESPORTSTMNT04_2410452,G2 Esports,Fnatic,LEC,2022-07-02 18:38:01,Fnatic,2002,Fnatic,1
ESPORTSTMNT04_2450123,Misfits Gaming,Astralis,LEC,2022-08-05 15:19:54,Misfits Gaming,1766,Misfits Gaming,0
ESPORTSTMNT04_2450129,Team Vitality,Team BDS,LEC,2022-08-05 16:28:43,Team Vitality,1465,Team Vitality,2
ESPORTSTMNT04_2450140,Fnatic,SK Gaming,LEC,2022-08-05 17:26:32,Fnatic,1493,Fnatic,0
ESPORTSTMNT04_2450146,Rogue,MAD Lions KOI,LEC,2022-08-05 18:16:54,Rogue,1997,Rogue,1
ESPORTSTMNT04_2450215,Astralis,Team Vitality,LEC,2022-08-06 14:18:29,Astralis,2659,Team Vitality,1
ESPORTSTMNT04_2450238,Team BDS,Excel Esports,LEC,2022-08-06 15:44:12,Team BDS,2533,Team BDS,1
ESPORTSTMNT04_2450271,Misfits Gaming,MAD Lions KOI,LEC,2022-08-06 17:02:23,Misfits Gaming,1983,MAD Lions KOI,0
ESPORTSTMNT04_2450295,SK Gaming,Rogue,LEC,2022-08-06 17:44:25,SK Gaming,1902,SK Gaming,2
ESPORTSTMNT04_2450315,Fnatic,G2 Esports,LEC,2022-08-06 19:04:26,G2 Esports,1937,G2 Esports,1
ESPORTSTMNT04_2470150,Excel Esports,G2 Esports,LEC,2022-08-05 19:20:49,G2 Esports,1710,Excel Esports,1
ESPORTSTMNT04_2471074,Team BDS,Misfits Gaming,LEC,2022-08-12 15:06:59,Misfits Gaming,1627,Team BDS,1
ESPORTSTMNT04_2471120,SK Gaming,Team Vitality,LEC,2022-08-12 16:36:29,SK Gaming,2384,Team Vitality,0
ESPORTSTMNT04_2471136,Rogue,Excel Esports,LEC,2022-08-12 17:41:37,Rogue,2020,Rogue,0
ESPORTSTMNT04_2471154,Astralis,Fnatic,LEC,2022-08-12 18:47:29,Fnatic,1939,Fnatic,1
ESPORTSTMNT04_2471173,G2 Esports,MAD Lions KOI,LEC,2022-08-12 19:44:47,G2 Esports,2139,MAD Lions KOI,0
ESPORTSTMNT04_2471276,Rogue,Team BDS,LEC,2022-08-13 13:48:48,Team BDS,1964,Rogue,1
ESPORTSTMNT04_2471307,Excel Esports,SK Gaming,LEC,2022-08-13 15:41:15,Excel Esports,2840,SK Gaming,0
ESPORTSTMNT04_2471329,Astralis,MAD Lions KOI,LEC,2022-08-13 16:53:54,MAD Lions KOI,2905,Astralis,1
ESPORTSTMNT04_2471343,Team Vitality,Fnatic,LEC,2022-08-13 18:11:17,Fnatic,3071,Team Vitality,1
ESPORTSTMNT04_2471359,G2 Esports,Misfits Gaming,LEC,2022-08-13 19:33:31,G2 Esports,1768,G2 Esports,0
ESPORTSTMNT04_2471427,Excel Esports,Astralis,LEC,2022-08-14 14:44:26,Excel Esports,1894,Excel Esports,0
ESPORTSTMNT04_2471438,MAD Lions KOI,Team BDS,LEC,2022-08-14 15:41:35,MAD Lions KOI,2176,MAD Lions KOI,0
ESPORTSTMNT04_2471455,SK Gaming,G2 Esports,LEC,2022-08-14 16:45:44,G2 Esports,1895,G2 Esports,1
ESPORTSTMNT04_2471465,Team Vitality,Rogue,LEC,2022-08-14 17:42:29,Rogue,2073,Team Vitality,1
ESPORTSTMNT04_2471479,Misfits Gaming,Fnatic,LEC,2022-08-14 18:42:58,Fnatic,2219,Misfits Gaming,1
ESPORTSTMNT04_2471493,Excel Esports,Team Vitality,LEC,2022-08-14 20:00:53,Excel Esports,1932,Excel Esports,0
ESPORTSTMNT04_2471498,Misfits Gaming,Fnatic,LEC,2022-08-14 20:50:40,Misfits Gaming,1754,Fnatic,0
ESPORTSTMNT04_2663772,Team Vitality,Team Heretics,LEC,2023-02-11 17:58:39,Team Heretics,1589,Team Vitality,1
ESPORTSTMNT04_2663877,MAD Lions KOI,Astralis,LEC,2023-02-12 18:44:56,MAD Lions KOI,1753,MAD Lions KOI,1
ESPORTSTMNT04_2663880,G2 Esports,Team BDS,LEC,2023-02-12 19:42:40,G2 Esports,1864,Team BDS,0
